"1""-2""","2""-3""","3""-4""","4""-5""","5""-6""","6""-12""",Alpine Gardening,B (Boron),Bark,Pollinated by Bats,Beach Front,Attracts Bees,Pollinated by Beetles,Bi-Color,Attracts Birds,Blue,Bog gardening,Brown,Bulb,Propagate by Bulbs,Pollinated by Bumblebees,Attracts Butterflies,Ca (Calcium),Cactus/Succulent,Can handle transplanting,Carnivorous,Caudex,Co (Cobalt),Coarse Soil,Cooked,Cooked greens,Corm,Propagate by Corms,Propagate by Crowns,Cu (Copper),Culinary Herb,Cut Flower,Propagate by Cuttings: Cane,Propagate by Cuttings: Leaf,Cuttings: Root,Propagate by Cuttings: Stem,Propagate by Cuttings: Tip,Deer Resistant,Dioecious,Propagate by Division,Dried Flower,Drought tolerant,Dry,Dry Mesic,Dye production,Endangered,Epiphytic,Erosion control,Espalier,Extremely acid (3.5 – 4.4),Fe (Iron),Fermented,Fern,Fine Soil,Fire Resistant,Pollinated by Flies,Flood Resistant,Flowering Tree,Flowers,Flowers Blooms on new wood,Flowers Blooms on old wood,Flowers Fragrant,Flowers Inconspicuous,Flowers Malodorous,Flowers Nocturnal,Flowers Showy,Fruit,Fruit is poisonous,Fruit Dehiscent,Fruit Edible to birds,Fruit Indehiscent,Fruit Pops open explosively when ripe,Fruit Showy,Fruiting Time Fall,Fruiting Time Late fall or early winter,Fruiting Time Late spring or early summer,Fruiting Time Late summer or early fall,Fruiting Time Late winter or early spring,Fruiting Time Spring,Fruiting Time Summer,Fruiting Time Winter,Fruiting Time Year Round,Full Shade,Full Sun,Full Sun to Partial Shade,Genus,Goes Dormant,Gopher and Vole Resistant,Grass/Grass-like,Green,Groundcover,Herb/Forb,Houseplant,Pollinated by Hoverflies,Humidity tolerant,Attracts Hummingbirds,In Water,K (Potassium),Lavender,Layering,Leaves,Leaves are poisonous,Leaves Broadleaf,Leaves Deciduous,Leaves Evergreen,Leaves Fragrant,Leaves Glaucous,Leaves Good fall color,Leaves Malodorous,Leaves Needled,Leaves Other,Leaves Semi-evergreen,Leaves Spring ephemeral,Leaves Unusual foliage color,Leaves Variegated,Mauve,Maximum recommended zone,Medicinal Herb,Medium Soil,Mesic,Mg (Magnesium),Pollinated by Midges,Minimum cold hardiness,Mn (Manganese),Moderately acid (5.6 – 6.0),Moderately alkaline (7.9 – 8.4),Monocarpic,Monoecious,Pollinated by Moths and Butterflies,Multi-Color,Na (Sodium),Needs excellent drainage in pots,Needs repotting every 2 to 3 years,Neutral (6.6 – 7.3),Nitrogen fixer,Not suitable for containers,Propagate by Offsets,Orange,Attracts Other Beneficial Insects,"Over 12""",P (Phosphorus),Partial Shade to Full Shade,Partial or Dappled Shade,Patio/Ornamental/Small Tree,Pink,Pollution Tolerant,Provide darkness to seeds,Provide light to seeds,Provides winter interest,Purple,Rabbit Resistant,Raw,Red,Rhizome,Roots,Roots are poisonous,Russet,S (Sulfur),Salad greens,Salt tolerant,Sap,Scarify seeds,Seeds are hydrophilic,Seeds or Nuts,Pollinated by Self,Self fertile,Shade Tree,Shrub,Si (Silicon),Slightly acid (6.1 – 6.5),Slightly alkaline (7.4 – 7.8),Sow in situ,Species,Squirrel Resistant,Start indoors,Stem,Propagate by Stolons and runners,Stratify seeds,Street Tree,Strongly acid (5.1 – 5.5),Strongly alkaline (8.5 – 9.0),Suitable as Annual,Suitable for forage,Suitable for hanging baskets,Suitable for miniature gardens,Suitable for wintersowing,Suitable in 1 gallon,Suitable in 3 gallon or larger,Taproot,Tea,Terrariums,Tolerates dry shade,Tolerates foot traffic,Tolerates poor soil,Tree,Tuber,"Under 1""",Useful for timber production,Varieties,Pollinated by Various insects,Vegetable,Very strongly acid (4.5 – 5.0),Vine,Pollinated by Wasps,Pollinated by Water,Water gardens,Wet,Wet Mesic,White,Will Naturalize,Will not come true from seed,Pollinated by Wind,Windbreak or Hedge,With thorns/spines/prickles/teeth,Xeriscapic,Yellow,Zn (Zinc),Min Height,Max Height,Min Spread,Max Spread,Coppice Potential,Duration,Fertility Requirement,Foliage Porosity Summer,Growth Form,Growth Rate,Known Allelopath,State and Province,Vegetative Spread Rate,Growth Spring,Growth Summer,Growth Fall,Growth Winter,Northeast,Southeast,Midwest,Plains,Pacific,Flower Time Early Spring,Flower Time Mid Spring,Flower Time Late Spring,Flower Time Early Summer,Flower Time Mid Summer,Flower Time Late Summer,Flower Time Fall,Flower Time Winter,Award Winner
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Abies,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,6.0,False,True,True,False,False,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,balsamea,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"['https://garden.org/plants/view/79623/Balsam-Fir-Abies-balsamea/', 'https://garden.org/plants/view/87454/Dwarf-Silver-Fir-Abies-balsamea-Hudsonia/', 'https://garden.org/plants/view/128014/Dwarf-Silver-Fir-Abies-balsamea-Nana/', 'https://garden.org/plants/view/138411/Balsam-Fir-Abies-balsamea-Quintin-Spreader/']",False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,50.0,70.0,15.0,25.0,False,Perennial,Medium,Dense,Single Stem,Slow,False,"['CT', 'IA', 'IN', 'MA', 'MD', 'ME', 'MI', 'MN', 'NH', 'NJ', 'NY', 'OH', 'PA', 'RI', 'VA', 'VT', 'WI', 'WV']",None,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Abies,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,6.0,False,True,True,False,False,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,balsamea,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"['https://garden.org/plants/view/79623/Balsam-Fir-Abies-balsamea/', 'https://garden.org/plants/view/87454/Dwarf-Silver-Fir-Abies-balsamea-Hudsonia/', 'https://garden.org/plants/view/128014/Dwarf-Silver-Fir-Abies-balsamea-Nana/', 'https://garden.org/plants/view/138411/Balsam-Fir-Abies-balsamea-Quintin-Spreader/']",False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,50.0,70.0,15.0,25.0,False,Perennial,Medium,Dense,Single Stem,Slow,False,"['CT', 'IA', 'IN', 'MA', 'MD', 'ME', 'MI', 'MN', 'NH', 'NJ', 'NY', 'OH', 'PA', 'RI', 'VA', 'VT', 'WI', 'WV']",None,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Abies,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,7.0,False,True,True,False,False,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,fraseri,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"['https://garden.org/plants/view/131955/Fraser-Fir-Abies-fraseri-Klines-Nest/', 'https://garden.org/plants/view/131956/Fraser-Fir-Abies-fraseri-Prostrata/', 'https://garden.org/plants/view/166337/Fraser-Fir-Abies-fraseri-Franklin/', 'https://garden.org/plants/view/166338/Fraser-Fir-Abies-fraseri-Julian-Potts/']",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3.0,4.0,4.0,6.0,False,Perennial,Low,Moderate,Single Stem,Moderate,False,"['GA', 'NC', 'TN', 'VA']",None,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Abies,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,6.0,False,True,True,False,False,5.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,procera,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,"['https://garden.org/plants/view/79628/Noble-Fir-Abies-procera/', 'https://garden.org/plants/view/128153/Noble-Fir-Abies-procera-Glauca/', 'https://garden.org/plants/view/134727/Noble-Fir-Abies-procera-Blaue-Hexe/', 'https://garden.org/plants/view/134728/Noble-Fir-Abies-procera-Blue-Spire/', 'https://garden.org/plants/view/134729/Noble-Fir-Abies-procera-Frijsenborg-Blue/', 'https://garden.org/plants/view/134731/Noble-Fir-Abies-procera-La-Graciosa/', 'https://garden.org/plants/view/134733/Noble-Fir-Abies-procera-Sherwoodii/', 'https://garden.org/plants/view/134734/Noble-Fir-Abies-procera-Silver/', 'https://garden.org/plants/view/137971/Noble-Fir-Abies-procera-Glauca-Prostrata/', 'https://garden.org/plants/view/632919/Noble-Fir-Abies-procera-Bizarro/', 'https://garden.org/plants/view/632920/Noble-Fir-Abies-procera-Blue-Spiral/', 'https://garden.org/plants/view/632921/Noble-Fir-Abies-procera-Blue-Wonder/', 'https://garden.org/plants/view/632922/Noble-Fir-Abies-procera-Bump-s-Broom/', 'https://garden.org/plants/view/632923/Noble-Fir-Abies-procera-Delbar-s-Cascade/', 'https://garden.org/plants/view/632924/Noble-Fir-Abies-procera-Fastigiata/', 'https://garden.org/plants/view/632925/Noble-Fir-Abies-procera-Glauca-Procumbens/', 'https://garden.org/plants/view/632926/Noble-Fir-Abies-procera-Hupp-s-Compact/', 'https://garden.org/plants/view/632927/Noble-Fir-Abies-procera-Hupp-s-Dwarf/', 'https://garden.org/plants/view/632928/Noble-Fir-Abies-procera-Hupp-s-Prostrate/', 'https://garden.org/plants/view/632929/Noble-Fir-Abies-procera-Hupp-s-Weeping/']",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,140.0,200.0,,,False,Perennial,Low,Dense,Single Stem,Rapid,False,"['CA', 'OR', 'WA']",None,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Acer,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9.0,False,True,True,False,False,3.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,saccharinum,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['https://garden.org/plants/view/75057/Silver-Maple-Acer-saccharinum/', 'https://garden.org/plants/view/75058/Silver-Maple-Acer-saccharinum-Silver-Queen/', 'https://garden.org/plants/view/669742/Maple-Acer-saccharinum-Wieri/', 'https://garden.org/plants/view/670302/Maple-Acer-saccharinum-Crispum/', 'https://garden.org/plants/view/736268/Maple-Acer-saccharinum-Silver-Cloud/']",False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,50.0,80.0,35.0,70.0,True,Perennial,Low,Dense,Single Stem,Rapid,False,"['AL', 'AR', 'CA', 'CT', 'DC', 'DE', 'FL', 'GA', 'IA', 'IL', 'IN', 'KS', 'KY', 'LA', 'MA', 'MD', 'ME', 'MI', 'MN', 'MO', 'MS', 'NC', 'ND', 'NE', 'NH', 'NJ', 'NM', 'NY', 'OH', 'OK', 'PA', 'RI', 'SC', 'SD', 'TN', 'TX', 'VA', 'VT', 'WA', 'WI', 'WV']",None,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,Acer,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,7.0,False,True,True,False,False,3.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,spicatum,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,['https://garden.org/plants/view/79684/Mountain-Maple-Acer-spicatum/'],True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.0,35.0,,,True,Perennial,Medium,Dense,Multiple Stem,Moderate,False,"['AL', 'CT', 'GA', 'IA', 'KY', 'MA', 'MD', 'ME', 'MI', 'MN', 'NC', 'NH', 'NJ', 'NY', 'OH', 'PA', 'RI', 'TN', 'VA', 'VT', 'WI', 'WV']",None,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,Aesculus,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8.0,False,True,True,False,False,4.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,pavia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"['https://garden.org/plants/view/75140/Red-Buckeye-Aesculus-pavia/', 'https://garden.org/plants/view/79723/Yellow-Buckeye-Aesculus-pavia-var-flavescens/']",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,12.0,15.0,12.0,15.0,True,Perennial,Medium,Dense,Single Stem,Moderate,False,"['AL', 'AR', 'FL', 'GA', 'IL', 'IN', 'KY', 'LA', 'MO', 'MS', 'NC', 'OH', 'OK', 'SC', 'TN', 'TX', 'VA', 'WV']",None,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,Aesculus,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,8.0,False,True,True,False,False,4.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,pavia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,"['https://garden.org/plants/view/75140/Red-Buckeye-Aesculus-pavia/', 'https://garden.org/plants/view/79723/Yellow-Buckeye-Aesculus-pavia-var-flavescens/']",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,12.0,15.0,12.0,15.0,True,Perennial,Medium,Dense,Single Stem,Moderate,False,"['AL', 'AR', 'FL', 'GA', 'IL', 'IN', 'KY', 'LA', 'MO', 'MS', 'NC', 'OH', 'OK', 'SC', 'TN', 'TX', 'VA', 'WV']",None,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Agoseris,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,False,True,True,False,False,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,glauca,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,['https://garden.org/plants/view/79764/Mountain-Dandelion-Agoseris-glauca/'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5,1.5,0.5,1.0,False,Perennial,Low,Porous,Single Crown,Rapid,False,"['AK', 'AZ', 'CA', 'CO', 'IA', 'ID', 'KS', 'MI', 'MN', 'MT', 'ND', 'NE', 'NM', 'NV', 'OR', 'SD', 'UT', 'WA', 'WY']",None,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Agoseris,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,False,True,True,False,False,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,glauca,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,['https://garden.org/plants/view/79764/Mountain-Dandelion-Agoseris-glauca/'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5,1.5,0.5,1.0,False,Perennial,Low,Porous,Single Crown,Rapid,False,"['AK', 'AZ', 'CA', 'CO', 'IA', 'ID', 'KS', 'MI', 'MN', 'MT', 'ND', 'NE', 'NM', 'NV', 'OR', 'SD', 'UT', 'WA', 'WY']",None,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False
