Active_Growth_Period,Bloom_Period,Coppice_Potential,Duration,Fertility_Requirement,Foliage_Porosity_Summer,Genus,Growth_Form,Growth_Habit,Growth_Rate,Height_Mature_feet,Known_Allelopath,Species,State_and_Province,Vegetative_Spread_Rate,pH_Maximum,pH_Minimum
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,abutiloides,"USA (AZ, TX), USA+ (PR, VI)",,,
,,,Perennial,,,Abies,,Tree,,,,amabilis,"USA (AK, CA, OR, WA), CAN (BC)",,,
Spring and Summer,Mid Summer,No,Perennial,Medium,Dense,Abies,Single Stem,Tree,Slow,60,No,balsamea,"USA (CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",None,6.0,4.0
Spring and Summer,Mid Summer,No,Perennial,Medium,Dense,Abies,Single Stem,Tree,Slow,60,No,balsamea,"USA (CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV), CAN (AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",None,6.0,4.0
,,,Perennial,,,Abutilon,,Shrub,,,,berlandieri,USA (TX),,,
,,,Perennial,,,Abies,,Tree,,,,bracteata,USA (CA),,,
Spring and Summer,Late Spring,No,Perennial,Medium,Dense,Abies,Single Stem,Tree,Slow,120,No,concolor,"USA (AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)",None,7.8,5.5
Spring and Summer,Mid Spring,No,Perennial,Low,Moderate,Abies,Single Stem,Tree,Moderate,55,No,fraseri,"USA (GA, NC, TN, VA)",None,5.5,3.5
,,,Perennial,,,Abronia,,Forb/herb,,,,fragrans,"USA (AZ, CO, KS, MT, ND, NE, NM, OK, SD, TX, UT, WA, WY)",,,
,,,Perennial,,,Abutilon,,Subshrub,,,,fruticosum,"USA (AR, OK, TX)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Dense,Abies,Single Stem,Tree,Moderate,150,No,grandis,"USA (CA, ID, MT, OR, WA), CAN (BC)",None,7.5,4.5
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,hulseanum,"USA (FL, LA, TX), USA+ (PR)",,,
,,,Perennial,,,Abutilon,,"Subshrub, Shrub",,,,hypoleucum,USA (TX),,,
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,incanum,"USA (AZ, CO, HI, NM)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Dense,Abies,Single Stem,Tree,Slow,90,No,lasiocarpa,"USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)",None,6.5,4.0
,,,Perennial,,,Abronia,,Forb/herb,,,,latifolia,"USA (CA, OR, WA), CAN (BC)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Dense,Abies,Single Stem,Tree,Slow,90,No,lasiocarpa,"USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)",None,6.5,4.0
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Abies,Single Stem,Tree,Slow,150,No,magnifica,"USA (CA, NV, NY, OR)",None,6.1,5.0
,,,Perennial,,,Abronia,,Forb/herb,,,,maritima,USA (CA),,,
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,malacum,"USA (AZ, NM, TX)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Abies,Single Stem,Tree,Slow,150,No,magnifica,"USA (CA, NV, NY, OR)",None,6.1,5.0
,,,Perennial,,,Abutilon,,"Subshrub, Shrub, Forb/herb",,,,mollicomum,"USA (AZ, NM, TX)",,,
,,,Perennial,,,Abutilon,,"Shrub, Subshrub",,,,palmeri,"USA (AZ, CA)",,,
,,,Perennial,,,Abutilon,,"Subshrub, Shrub, Forb/herb",,,,parishii,USA (AZ),,,
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,parvulum,"USA (AZ, CA, CO, NM, NV, TX, UT)",,,
,,,Perennial,,,Abutilon,,"Subshrub, Forb/herb",,,,permolle,"USA (FL), USA+ (PR)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Dense,Abies,Single Stem,Tree,Rapid,230,No,procera,"USA (CA, OR, WA)",None,7.5,6.0
